model,precision,recall,threshold,average_precision
first_visit_LASSO_logistic,0.015730337078651686,1.0,4.828624914671921e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015736230798051705,1.0,4.8300241256511305e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015742128935532233,1.0,4.913556819624573e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015748031496062992,1.0,4.943869908783939e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015753938484621154,1.0,5.007548449920166e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01575984990619137,1.0,5.120539025182221e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015765765765765764,1.0,5.1299933099900655e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015771686068343973,1.0,5.13893915683028e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015777610818933134,1.0,5.145120391276668e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015783540022547914,1.0,5.201647527902004e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015789473684210527,1.0,5.331410708729917e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015795411808950735,1.0,5.352660603923459e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01580135440180587,1.0,5.36105635099881e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01580730146782085,1.0,5.372325987005297e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01581325301204819,1.0,5.401277494545589e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015819209039548022,1.0,5.6424220498619736e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015825169555388093,1.0,5.781596142990362e-05,0.5908208210674911
first_visit_LASSO_logistic,0.0158311345646438,1.0,5.79808685038077e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01583710407239819,1.0,5.821355796008527e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015843078083741986,1.0,5.82619464650968e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015849056603773583,1.0,5.85106127951943e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015855039637599093,1.0,5.9363158893372954e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015861027190332326,1.0,5.970808696181743e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015867019267094825,1.0,5.973017677865792e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015873015873015872,1.0,5.993783503293197e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015879017013232515,1.0,5.9947204131535474e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01588502269288956,1.0,6.063884859450262e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015891032917139614,1.0,6.0678396618280865e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015897047691143074,1.0,6.106203291945604e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015903067020068155,1.0,6.20668669265591e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015909090909090907,1.0,6.27170729996182e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015915119363395226,1.0,6.403541253498984e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01592115238817286,1.0,6.429124085562491e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015927189988623434,1.0,6.451608132593992e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015933232169954476,1.0,6.458984016085097e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015939278937381403,1.0,6.459477460799378e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015945330296127564,1.0,6.574230179705858e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01595138625142423,1.0,6.597338671347366e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015957446808510637,1.0,6.674209353908742e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01596351197263398,1.0,6.740255660672053e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01596958174904943,1.0,6.837242381301706e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01597565614302016,1.0,6.876679422314556e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01598173515981735,1.0,6.931696658934142e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01598781880472021,1.0,6.981929352615463e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015993907083015995,1.0,7.189298371962859e-05,0.5908208210674911
