model,fpr,tpr,threshold,auc
Bi-LSTM,0.0488358886996025,0.5121951219512195,0.8050900101661682,0.8853986325212486
Bi-LSTM,0.0488358886996025,0.5203252032520326,0.8047155141830444,0.8853986325212486
Bi-LSTM,0.04997160704145372,0.5203252032520326,0.802569568157196,0.8853986325212486
Bi-LSTM,0.04997160704145372,0.5284552845528455,0.8013957142829895,0.8853986325212486
Bi-LSTM,0.05053946621237933,0.5284552845528455,0.7995169162750244,0.8853986325212486
Bi-LSTM,0.05053946621237933,0.5365853658536586,0.7986857295036316,0.8853986325212486
Bi-LSTM,0.05394662123793299,0.5365853658536586,0.7910410165786743,0.8853986325212486
Bi-LSTM,0.05394662123793299,0.5528455284552846,0.7888091206550598,0.8853986325212486
Bi-LSTM,0.05848949460533787,0.5528455284552846,0.7839295268058777,0.8853986325212486
Bi-LSTM,0.05848949460533787,0.5609756097560976,0.7831226587295532,0.8853986325212486
Bi-LSTM,0.06076093128904032,0.5609756097560976,0.7778052687644958,0.8853986325212486
Bi-LSTM,0.06076093128904032,0.5691056910569106,0.7770010828971863,0.8853986325212486
Bi-LSTM,0.06132879045996593,0.5691056910569106,0.7766932845115662,0.8853986325212486
Bi-LSTM,0.06132879045996593,0.5772357723577236,0.776662290096283,0.8853986325212486
Bi-LSTM,0.06246450880181715,0.5772357723577236,0.7723642587661743,0.8853986325212486
Bi-LSTM,0.06246450880181715,0.5853658536585366,0.7721235156059265,0.8853986325212486
Bi-LSTM,0.06303236797274275,0.5853658536585366,0.7713521122932434,0.8853986325212486
Bi-LSTM,0.06303236797274275,0.5934959349593496,0.7708819508552551,0.8853986325212486
Bi-LSTM,0.06360022714366836,0.5934959349593496,0.7651193737983704,0.8853986325212486
Bi-LSTM,0.06360022714366836,0.6016260162601627,0.764863133430481,0.8853986325212486
Bi-LSTM,0.0653038046564452,0.6016260162601627,0.7600929141044617,0.8853986325212486
Bi-LSTM,0.0653038046564452,0.6097560975609756,0.7594232559204102,0.8853986325212486
Bi-LSTM,0.06587166382737081,0.6097560975609756,0.7589724659919739,0.8853986325212486
Bi-LSTM,0.06587166382737081,0.6341463414634146,0.758018970489502,0.8853986325212486
Bi-LSTM,0.06757524134014764,0.6341463414634146,0.7572681307792664,0.8853986325212486
Bi-LSTM,0.06757524134014764,0.6422764227642277,0.7569016814231873,0.8853986325212486
Bi-LSTM,0.07779670641680864,0.6422764227642277,0.7295708060264587,0.8853986325212486
Bi-LSTM,0.07779670641680864,0.6504065040650406,0.729041337966919,0.8853986325212486
Bi-LSTM,0.07950028392958547,0.6504065040650406,0.7238672971725464,0.8853986325212486
Bi-LSTM,0.07950028392958547,0.6585365853658537,0.7234688401222229,0.8853986325212486
Bi-LSTM,0.08233957978421351,0.6585365853658537,0.7118261456489563,0.8853986325212486
Bi-LSTM,0.08233957978421351,0.6666666666666666,0.7117422223091125,0.8853986325212486
Bi-LSTM,0.0925610448608745,0.6666666666666666,0.6880412697792053,0.8853986325212486
Bi-LSTM,0.0925610448608745,0.6747967479674797,0.6868262887001038,0.8853986325212486
Bi-LSTM,0.09483248154457695,0.6747967479674797,0.6728792786598206,0.8853986325212486
Bi-LSTM,0.09483248154457695,0.6829268292682927,0.6722266674041748,0.8853986325212486
Bi-LSTM,0.09880749574105621,0.6829268292682927,0.6538009643554688,0.8853986325212486
Bi-LSTM,0.09880749574105621,0.6910569105691057,0.6526799201965332,0.8853986325212486
Bi-LSTM,0.11186825667234526,0.6910569105691057,0.6177188158035278,0.8853986325212486
Bi-LSTM,0.11186825667234526,0.6991869918699187,0.6170452237129211,0.8853986325212486
Bi-LSTM,0.11868256672345258,0.6991869918699187,0.5984311103820801,0.8853986325212486
Bi-LSTM,0.11868256672345258,0.7073170731707317,0.597469687461853,0.8853986325212486
Bi-LSTM,0.12436115843270869,0.7073170731707317,0.5861418843269348,0.8853986325212486
Bi-LSTM,0.12436115843270869,0.7154471544715447,0.5832372903823853,0.8853986325212486
Bi-LSTM,0.1254968767745599,0.7154471544715447,0.5792268514633179,0.8853986325212486
Bi-LSTM,0.1254968767745599,0.7235772357723578,0.5790339708328247,0.8853986325212486
Bi-LSTM,0.1306076093128904,0.7235772357723578,0.5679736733436584,0.8853986325212486
Bi-LSTM,0.1306076093128904,0.7317073170731707,0.566606342792511,0.8853986325212486
Bi-LSTM,0.1362862010221465,0.7317073170731707,0.5544076561927795,0.8853986325212486
Bi-LSTM,0.1362862010221465,0.7398373983739838,0.553972065448761,0.8853986325212486
Bi-LSTM,0.1408290743895514,0.7398373983739838,0.5432857871055603,0.8853986325212486
Bi-LSTM,0.1408290743895514,0.7479674796747967,0.5422336459159851,0.8853986325212486
Bi-LSTM,0.141396933560477,0.7479674796747967,0.5415633916854858,0.8853986325212486
Bi-LSTM,0.141396933560477,0.7560975609756098,0.5400182604789734,0.8853986325212486
Bi-LSTM,0.14480408858603067,0.7560975609756098,0.5321749448776245,0.8853986325212486
Bi-LSTM,0.14480408858603067,0.7642276422764228,0.5303183794021606,0.8853986325212486
Bi-LSTM,0.16978989210675752,0.7642276422764228,0.465688556432724,0.8853986325212486
Bi-LSTM,0.16978989210675752,0.7723577235772358,0.46501481533050537,0.8853986325212486
Bi-LSTM,0.185122089721749,0.7723577235772358,0.4402109980583191,0.8853986325212486
Bi-LSTM,0.185122089721749,0.7804878048780488,0.439728707075119,0.8853986325212486
Bi-LSTM,0.20897217490062464,0.7804878048780488,0.4080655574798584,0.8853986325212486
Bi-LSTM,0.20897217490062464,0.7886178861788617,0.4055650234222412,0.8853986325212486
Bi-LSTM,0.20954003407155025,0.7886178861788617,0.40501388907432556,0.8853986325212486
Bi-LSTM,0.20954003407155025,0.7967479674796748,0.4048996567726135,0.8853986325212486
Bi-LSTM,0.21067575241340147,0.7967479674796748,0.40085121989250183,0.8853986325212486
Bi-LSTM,0.21067575241340147,0.8048780487804879,0.4006584584712982,0.8853986325212486
Bi-LSTM,0.21294718909710392,0.8048780487804879,0.3959208130836487,0.8853986325212486
Bi-LSTM,0.21294718909710392,0.8130081300813008,0.39518412947654724,0.8853986325212486
Bi-LSTM,0.21465076660988075,0.8130081300813008,0.3913882076740265,0.8853986325212486
Bi-LSTM,0.21465076660988075,0.8211382113821138,0.39109593629837036,0.8853986325212486
Bi-LSTM,0.21635434412265758,0.8211382113821138,0.389193058013916,0.8853986325212486
Bi-LSTM,0.21635434412265758,0.8373983739837398,0.38846367597579956,0.8853986325212486
Bi-LSTM,0.2174900624645088,0.8373983739837398,0.3868880867958069,0.8853986325212486
Bi-LSTM,0.2174900624645088,0.8455284552845529,0.3867201507091522,0.8853986325212486
Bi-LSTM,0.2271436683702442,0.8455284552845529,0.37115901708602905,0.8853986325212486
Bi-LSTM,0.2271436683702442,0.8617886178861789,0.37000179290771484,0.8853986325212486
Bi-LSTM,0.26519023282226006,0.8617886178861789,0.3134838938713074,0.8853986325212486
Bi-LSTM,0.26519023282226006,0.8699186991869918,0.3134002387523651,0.8853986325212486
Bi-LSTM,0.29074389551391255,0.8699186991869918,0.2805778682231903,0.8853986325212486
Bi-LSTM,0.29074389551391255,0.8780487804878049,0.2803219258785248,0.8853986325212486
Bi-LSTM,0.29585462805224305,0.8780487804878049,0.27664726972579956,0.8853986325212486
Bi-LSTM,0.29585462805224305,0.8861788617886179,0.2760104238986969,0.8853986325212486
Bi-LSTM,0.3197047132311187,0.8861788617886179,0.25739648938179016,0.8853986325212486
Bi-LSTM,0.3197047132311187,0.8943089430894309,0.2573290169239044,0.8853986325212486
Bi-LSTM,0.32424758659852354,0.8943089430894309,0.25476396083831787,0.8853986325212486
Bi-LSTM,0.32424758659852354,0.9024390243902439,0.2546004354953766,0.8853986325212486
Bi-LSTM,0.3424190800681431,0.9024390243902439,0.23706452548503876,0.8853986325212486
Bi-LSTM,0.3424190800681431,0.9105691056910569,0.2352471649646759,0.8853986325212486
Bi-LSTM,0.3537762634866553,0.9105691056910569,0.22627197206020355,0.8853986325212486
Bi-LSTM,0.3537762634866553,0.9186991869918699,0.22607405483722687,0.8853986325212486
Bi-LSTM,0.3685406019307212,0.9186991869918699,0.21637053787708282,0.8853986325212486
Bi-LSTM,0.370244179443498,0.9186991869918699,0.21606482565402985,0.8853986325212486
Bi-LSTM,0.37705848949460535,0.9186991869918699,0.2091250717639923,0.8853986325212486
Bi-LSTM,0.37705848949460535,0.926829268292683,0.20884832739830017,0.8853986325212486
Bi-LSTM,0.41624077228847245,0.926829268292683,0.18725021183490753,0.8853986325212486
Bi-LSTM,0.41624077228847245,0.9349593495934959,0.1871948540210724,0.8853986325212486
Bi-LSTM,0.4503123225440091,0.9349593495934959,0.16722923517227173,0.8853986325212486
Bi-LSTM,0.4503123225440091,0.943089430894309,0.16688863933086395,0.8853986325212486
Bi-LSTM,0.47245883021010787,0.943089430894309,0.1597132831811905,0.8853986325212486
Bi-LSTM,0.47245883021010787,0.9512195121951219,0.1594780832529068,0.8853986325212486
Bi-LSTM,0.48665530948324814,0.9512195121951219,0.15430299937725067,0.8853986325212486
Bi-LSTM,0.48665530948324814,0.959349593495935,0.15407462418079376,0.8853986325212486
Bi-LSTM,0.49176604202157864,0.959349593495935,0.15209132432937622,0.8853986325212486
