model,precision,recall,threshold,average_precision
Bi-LSTM,0.06627155172413793,1.0,0.029488811269402504,0.42869403401119865
Bi-LSTM,0.06630727762803235,1.0,0.030178572982549667,0.42869403401119865
Bi-LSTM,0.06634304207119741,1.0,0.030513405799865723,0.42869403401119865
Bi-LSTM,0.06637884511602807,1.0,0.03142770007252693,0.42869403401119865
Bi-LSTM,0.066414686825054,1.0,0.031836096197366714,0.42869403401119865
Bi-LSTM,0.06645056726094004,1.0,0.03207138553261757,0.42869403401119865
Bi-LSTM,0.06648648648648649,1.0,0.03208177909255028,0.42869403401119865
Bi-LSTM,0.06652244456462952,1.0,0.03222738951444626,0.42869403401119865
Bi-LSTM,0.06655844155844155,1.0,0.03276938945055008,0.42869403401119865
Bi-LSTM,0.06659447753113157,1.0,0.033224619925022125,0.42869403401119865
Bi-LSTM,0.06663055254604551,1.0,0.03341571241617203,0.42869403401119865
Bi-LSTM,0.06666666666666667,1.0,0.03351622819900513,0.42869403401119865
Bi-LSTM,0.06670281995661605,1.0,0.03422100096940994,0.42869403401119865
Bi-LSTM,0.06673901247965273,1.0,0.03426241874694824,0.42869403401119865
Bi-LSTM,0.06677524429967427,1.0,0.03481234237551689,0.42869403401119865
Bi-LSTM,0.066811515480717,1.0,0.034851010888814926,0.42869403401119865
Bi-LSTM,0.06684782608695652,1.0,0.0350956916809082,0.42869403401119865
Bi-LSTM,0.06688417618270799,1.0,0.03516261279582977,0.42869403401119865
Bi-LSTM,0.06692056583242655,1.0,0.03523992374539375,0.42869403401119865
Bi-LSTM,0.06695699510070767,1.0,0.03549836203455925,0.42869403401119865
Bi-LSTM,0.06699346405228758,1.0,0.03566175699234009,0.42869403401119865
Bi-LSTM,0.0670299727520436,1.0,0.0359247550368309,0.42869403401119865
Bi-LSTM,0.06706652126499454,1.0,0.036042194813489914,0.42869403401119865
Bi-LSTM,0.06710310965630115,1.0,0.03644319996237755,0.42869403401119865
Bi-LSTM,0.06713973799126638,1.0,0.036491576582193375,0.42869403401119865
Bi-LSTM,0.06717640633533588,1.0,0.03651917725801468,0.42869403401119865
Bi-LSTM,0.06721311475409836,1.0,0.036550574004650116,0.42869403401119865
Bi-LSTM,0.06724986331328595,1.0,0.036688387393951416,0.42869403401119865
Bi-LSTM,0.06728665207877461,1.0,0.03674676641821861,0.42869403401119865
Bi-LSTM,0.06732348111658457,1.0,0.03729977458715439,0.42869403401119865
Bi-LSTM,0.06736035049288061,1.0,0.03734752908349037,0.42869403401119865
Bi-LSTM,0.06739726027397261,1.0,0.037575770169496536,0.42869403401119865
Bi-LSTM,0.06743421052631579,1.0,0.037586748600006104,0.42869403401119865
Bi-LSTM,0.06747120131651124,1.0,0.03810170665383339,0.42869403401119865
Bi-LSTM,0.06750823271130625,1.0,0.03838871791958809,0.42869403401119865
Bi-LSTM,0.06754530477759473,1.0,0.03866257891058922,0.42869403401119865
Bi-LSTM,0.06758241758241758,1.0,0.03876877203583717,0.42869403401119865
Bi-LSTM,0.06761957119296316,1.0,0.03888089582324028,0.42869403401119865
Bi-LSTM,0.06765676567656766,1.0,0.038912251591682434,0.42869403401119865
Bi-LSTM,0.06769400110071547,1.0,0.039120856672525406,0.42869403401119865
Bi-LSTM,0.06773127753303965,1.0,0.03932652249932289,0.42869403401119865
Bi-LSTM,0.06776859504132231,1.0,0.039534587413072586,0.42869403401119865
Bi-LSTM,0.06780595369349504,1.0,0.03969026729464531,0.42869403401119865
Bi-LSTM,0.06784335355763928,1.0,0.0397460013628006,0.42869403401119865
Bi-LSTM,0.06788079470198675,1.0,0.04001018404960632,0.42869403401119865
Bi-LSTM,0.06791827719491994,1.0,0.040257759392261505,0.42869403401119865
Bi-LSTM,0.06795580110497237,1.0,0.040268465876579285,0.42869403401119865
Bi-LSTM,0.06799336650082918,1.0,0.04032173380255699,0.42869403401119865
Bi-LSTM,0.06803097345132743,1.0,0.04042303189635277,0.42869403401119865
Bi-LSTM,0.06806862202545656,1.0,0.040494468063116074,0.42869403401119865
Bi-LSTM,0.0681063122923588,1.0,0.04070384427905083,0.42869403401119865
Bi-LSTM,0.06814404432132964,1.0,0.04099874570965767,0.42869403401119865
Bi-LSTM,0.06818181818181818,1.0,0.041005101054906845,0.42869403401119865
Bi-LSTM,0.06821963394342762,1.0,0.0411495566368103,0.42869403401119865
Bi-LSTM,0.06825749167591565,1.0,0.04137032479047775,0.42869403401119865
Bi-LSTM,0.06829539144919489,1.0,0.04171980172395706,0.42869403401119865
Bi-LSTM,0.06833333333333333,1.0,0.04218260571360588,0.42869403401119865
Bi-LSTM,0.06837131739855476,1.0,0.0422561839222908,0.42869403401119865
Bi-LSTM,0.06840934371523916,1.0,0.04244433343410492,0.42869403401119865
Bi-LSTM,0.06844741235392321,1.0,0.042633358389139175,0.42869403401119865
Bi-LSTM,0.06848552338530067,1.0,0.042699843645095825,0.42869403401119865
Bi-LSTM,0.06852367688022284,1.0,0.04312855750322342,0.42869403401119865
Bi-LSTM,0.06856187290969899,1.0,0.04321945086121559,0.42869403401119865
Bi-LSTM,0.06804238706079196,0.991869918699187,0.043470416218042374,0.42869403401119865
Bi-LSTM,0.06808035714285714,0.991869918699187,0.043741624802351,0.42869403401119865
Bi-LSTM,0.06811836962590731,0.991869918699187,0.0439530611038208,0.42869403401119865
Bi-LSTM,0.06815642458100558,0.991869918699187,0.044099293649196625,0.42869403401119865
Bi-LSTM,0.06819452207937395,0.991869918699187,0.04417598992586136,0.42869403401119865
Bi-LSTM,0.06823266219239374,0.991869918699187,0.044357337057590485,0.42869403401119865
Bi-LSTM,0.06827084499160604,0.991869918699187,0.044788867235183716,0.42869403401119865
Bi-LSTM,0.0683090705487122,0.991869918699187,0.04492482915520668,0.42869403401119865
Bi-LSTM,0.06834733893557422,0.991869918699187,0.04501030594110489,0.42869403401119865
Bi-LSTM,0.06838565022421525,0.991869918699187,0.0452767089009285,0.42869403401119865
Bi-LSTM,0.06842400448681997,0.991869918699187,0.04528303071856499,0.42869403401119865
Bi-LSTM,0.06846240179573512,0.991869918699187,0.045497048646211624,0.42869403401119865
Bi-LSTM,0.06850084222346996,0.991869918699187,0.04568061977624893,0.42869403401119865
Bi-LSTM,0.06853932584269663,0.991869918699187,0.04572272300720215,0.42869403401119865
Bi-LSTM,0.06857785272625071,0.991869918699187,0.04577300325036049,0.42869403401119865
Bi-LSTM,0.0686164229471316,0.991869918699187,0.04602738097310066,0.42869403401119865
Bi-LSTM,0.0686550365785031,0.991869918699187,0.04634803906083107,0.42869403401119865
Bi-LSTM,0.0686936936936937,0.991869918699187,0.04651947692036629,0.42869403401119865
Bi-LSTM,0.06873239436619719,0.991869918699187,0.04663059860467911,0.42869403401119865
Bi-LSTM,0.06877113866967305,0.991869918699187,0.04671847075223923,0.42869403401119865
Bi-LSTM,0.06880992667794698,0.991869918699187,0.0469115674495697,0.42869403401119865
Bi-LSTM,0.06884875846501129,0.991869918699187,0.04694220423698425,0.42869403401119865
